source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int
M08_69_2021,11.73,grow,Maguey,8,69,28.52,t1,1,2.462149662665384,3.3506055955460954,80,0,0,0
M08_69_2021,32.41,grow,Maguey,8,69,33.88505154639175,t1,1,3.4784670171534557,3.522973959802553,81,0,0,0
M08_69_2021,8.29,grow,Maguey,8,69,15.447010309278351,t1,1,2.1150499691472033,2.7374154771286903,82,0,0,0
M08_69_2021,7.71,grow,Maguey,8,69,15.649690721649485,t1,1,2.0425181875752383,2.7504511545959662,83,0,0,0
M08_69_2021,56.22,grow,Maguey,8,69,61.54072164948454,t1,1,4.029272565478386,4.1196990963361015,84,0,0,0
M08_69_2021,3.53,grow,Maguey,8,69,6.465051546391752,t1,1,1.2612978709452054,1.866410985338478,85,0,0,0
M08_69_2021,3.19,grow,Maguey,8,69,3.92,t1,1,1.1600209167967532,1.366091653802371,86,0,0,0
M08_69_2021,47.44,grow,Maguey,8,69,49.93103092783505,t1,1,3.85946575468947,3.9106426717625116,87,0,0,0
M08_69_2021,157.99,grow,Maguey,8,69,176.6238144329897,t1,1,5.062531739884758,5.174022128642402,88,0,0,0
M08_69_2021,41.26,grow,Maguey,8,69,47.814948453608245,t1,1,3.7198935076431057,3.867338319762825,89,0,0,0
M08_69_2021,17.81,grow,Maguey,8,69,18.502371134020617,t1,1,2.87976009730157,2.9178988932778025,90,0,0,0
M08_69_2021,3.45,grow,Maguey,8,69,3.600515463917526,t1,1,1.2383742310432684,1.2810770196336885,91,0,0,0
M08_69_2021,12.76,grow,Maguey,8,69,19.028969072164948,t1,1,2.546315277916644,2.945962506018478,92,0,0,0
M08_69_2021,43.2,grow,Maguey,8,69,50.6580412371134,t1,1,3.765840495250065,3.9250979789447245,93,0,0,0
M08_69_2021,45.12,grow,Maguey,8,69,63.4979381443299,t1,1,3.8093256071898036,4.151007435203446,94,0,0,0
M08_69_2021,10.27,grow,Maguey,8,69,22.040309278350513,t1,1,2.329227023940467,3.092873016779294,95,0,0,0
M08_69_2021,29.05,grow,Maguey,8,69,50.51350515463918,t1,1,3.3690184832979204,3.9222407293333417,96,0,0,0
M08_69_2021,100.47,grow,Maguey,8,69,109.23752577319588,t1,1,4.609859175474223,4.693524646890889,97,0,0,0
M08_69_2021,35.96,grow,Maguey,8,69,58.078247422680406,t1,1,3.5824072096034194,4.061791194831927,98,0,0,0
M08_69_2021,32.86,grow,Maguey,8,69,39.294536082474224,t1,1,3.492256112609122,3.6710854782292133,99,0,0,0
M08_69_2021,8,grow,Maguey,8,69,14.058247422680413,t1,1,2.0794415416798357,2.6432092287325943,100,0,0,0
M08_69_2021,38.89,grow,Maguey,8,69,50.21628865979381,t1,1,3.660737148167656,3.916339449361657,101,0,0,0
M08_69_2021,39.28,grow,Maguey,8,69,46.33164948453608,t1,1,3.670715483486265,3.835825301741821,102,0,0,0
M08_69_2021,20.66,grow,Maguey,8,69,26.22154639175258,t1,1,3.0281994636914926,3.26658145416138,103,0,0,0
M08_69_2021,4.96,grow,Maguey,8,69,26.400927835051547,t1,1,1.601405740736836,3.273399154801794,104,0,0,0
M08_69_2021,29.17,grow,Maguey,8,69,52.92886597938144,t1,1,3.37314078387963,3.9689488607278807,105,0,0,0
M08_69_2021,26.49,grow,Maguey,8,69,31.93865979381443,t1,1,3.2767673032839784,3.4638171817879946,106,0,0,0
M08_69_2021,13.99,grow,Maguey,8,69,21.222268041237115,t1,1,2.63834278867739,3.0550510097192527,107,0,0,0
M08_69_2021,38.17,grow,Maguey,8,69,43.30257731958763,t1,1,3.6420498667571386,3.7682121556293806,108,0,0,0
M08_69_2021,99.12,grow,Maguey,8,69,107.65422680412371,t1,1,4.596331237320887,4.678924487360252,109,1,2.3106803802686215,2
M08_69_2021,18.06,grow,Maguey,8,69,23.200103092783504,t1,1,2.8936995479888394,3.1441567223168527,110,0,0,0
M08_69_2021,82.45,grow,Maguey,8,69,92.21092783505155,t1,1,4.412192049005608,4.524078646695975,111,0,0,0
M08_69_2021,2.31,grow,Maguey,8,69,2.6035051546391754,t1,1,0.8372475245337022,0.9568586735071515,112,0,0,0
M08_69_2021,16.79,grow,Maguey,8,69,24.02979381443299,t1,1,2.8207834710894493,3.179294469371699,113,0,0,0
M08_69_2021,14.09,grow,Maguey,8,69,23.083298969072164,t1,1,2.645465325910589,3.139109367693775,114,0,0,0
M08_69_2021,15.79,grow,Maguey,8,69,18.010103092783503,t1,1,2.7593768282675506,2.8909328833682335,115,0,0,0
M08_69_2021,9.33,grow,Maguey,8,69,11.858659793814432,t1,1,2.2332350148592526,2.4730583849764596,116,0,0,0
M08_69_2021,2.76,grow,Maguey,8,69,5.935876288659793,t1,1,1.0152306797290584,1.7810146647887064,117,0,0,0
M08_69_2021,5.67,grow,Maguey,8,69,7.619175257731959,t1,1,1.7351891177396608,2.0306681299474008,118,0,0,0
M08_69_2021,53.89,grow,Maguey,8,69,61.513608247422674,t1,1,3.9869449319454056,4.11925842265118,119,0,0,0
M08_69_2021,5.67,grow,Maguey,8,69,5.940927835051546,t1,1,1.7351891177396608,1.7818653223635474,120,0,0,0
M08_69_2021,44.53,grow,Maguey,8,69,59.86752577319587,t1,1,3.796163119333611,4.0921342174288045,121,0,0,0
M08_69_2021,6.48,grow,Maguey,8,69,13.606907216494845,t1,1,1.8687205103641833,2.6105775473785977,122,0,0,0
M08_69_2021,24.47,grow,Maguey,8,69,52.53360824742268,t1,1,3.19744787745458,3.9614531218781948,123,0,0,0
M08_69_2021,16.83,grow,Maguey,8,69,19.712371134020618,t1,1,2.8231630082027146,2.981246414995531,124,0,0,0
M08_69_2021,30.41,grow,Maguey,8,69,45.002474226804125,t1,1,3.4147715016892732,3.8067174710766896,125,0,0,0
M08_69_2021,4.95,grow,Maguey,8,69,7.0873195876288655,t1,1,1.599387576580599,1.9583072137216133,126,0,0,0
M08_69_2021,17.71,grow,Maguey,8,69,24.641237113402063,t1,1,2.8741294517947424,3.204421344929398,127,0,0,0
M08_69_2021,54.3,grow,Maguey,8,69,63.6620618556701,t1,1,3.9945242269398897,4.1535888098885145,128,0,0,0
M08_69_2021,61.08,grow,Maguey,8,69,69.52391752577319,t1,1,4.1121844803504315,4.241670830430654,129,0,0,0
M08_69_2021,15.06,grow,Maguey,8,69,18.085360824742267,t1,1,2.7120422223717475,2.895102816808142,130,0,0,0
M08_69_2021,12.43,grow,Maguey,8,69,21.37061855670103,t1,1,2.5201129055226197,3.062017014008132,131,0,0,0
M08_69_2021,17.65,grow,Maguey,8,69,37.149278350515466,t1,1,2.8707357833793057,3.6149443456861436,132,0,0,0
M08_69_2021,6.22,grow,Maguey,8,69,12.473917525773196,t1,1,1.827769906751088,2.523639866391613,133,0,0,0
M08_69_2021,10.87,grow,Maguey,8,69,15.031752577319587,t1,1,2.386006701133118,2.710164802244434,134,0,0,0
M08_69_2021,98.25,grow,Maguey,8,69,123.29577319587628,t1,1,4.58751525074937,4.814586128932876,135,1,2.3062483830622176,2
M08_69_2021,7.69,grow,Maguey,8,69,12.228041237113402,t1,1,2.0399207835175526,2.503731776374341,136,0,0,0
M08_69_2021,69.99,grow,Maguey,8,69,73.69268041237113,t1,1,4.248352374701448,4.299903478284451,137,0,0,0
M08_69_2021,4.06,grow,Maguey,8,69,4.458865979381443,t1,1,1.4011829736136412,1.4948944689885393,138,0,0,0
M08_69_2021,103.55,grow,Maguey,8,69,112.32505154639175,t1,1,4.640054587841593,4.721396913860118,139,1,2.3326611042398326,2
M08_69_2021,48.15,grow,Maguey,8,69,52.38701030927835,t1,1,3.8743211382441345,3.9586586657348866,140,0,0,0
M08_69_2021,19.65,grow,Maguey,8,69,28.537938144329896,t1,1,2.9780773383152703,3.351234365021624,141,0,0,0
M08_69_2021,72.85,grow,Maguey,8,69,85.94484536082474,t1,1,4.288402532641213,4.453705757497854,142,0,0,0
M08_69_2021,62.33,grow,Maguey,8,69,76.35051546391752,t1,1,4.132442850820759,4.335334782970175,143,0,0,0
M08_69_2021,45.33,same,Maguey,8,69,44.13340206185567,t1,1,3.813969064952758,3.7872169121263877,144,0,0,0
M08_69_2021,5.02,same,Maguey,8,69,5.147938144329897,t1,1,1.6134299337036377,1.638596274185761,145,0,0,0
M08_69_2021,6.54,same,Maguey,8,69,6.4496907216494845,t1,1,1.8779371654691073,1.8640321795261738,146,0,0,0
M08_69_2021,39.24,same,Maguey,8,69,38.00577319587629,t1,1,3.6696966346971625,3.637738074394039,147,0,0,0
M08_69_2021,36.41,same,Maguey,8,69,35.296185567010305,t1,1,3.594843462187342,3.563774900508833,148,0,0,0
M08_69_2021,39.8,same,Maguey,8,69,40.44721649484536,t1,1,3.6838669122903918,3.6999978276594976,149,0,0,0
M08_69_2021,33.01,same,Maguey,8,69,34.1840206185567,t1,1,3.4968105458651015,3.5317583015054987,150,0,0,0
