source_id,area1,area2,action,location,site,plot,survival,log_size,log_size_next,id,transition,repro,flower_n,flower_n_int
M08_69_2022,115.21,130.15,grow,Maguey,8,69,1,4.7467565500499624,4.868687631440574,91,t2,1,0.511627365593966,1
M08_69_2022,10.81,12.69,grow,Maguey,8,69,1,2.3804716316511167,2.540814281726296,92,t2,0,0,0
M08_69_2022,6.34,12.37,grow,Maguey,8,69,1,1.8468787684491346,2.5152741864043966,93,t2,0,0,0
M08_69_2022,32.69,36.54,grow,Maguey,8,69,1,3.487069220736119,3.5984075509498608,94,t2,0,0,0
M08_69_2022,30.6,36.23,grow,Maguey,8,69,1,3.4210000089583352,3.5898875049069856,95,t2,0,0,0
M08_69_2022,5.65,8.27,grow,Maguey,8,69,1,1.7316555451583497,2.1126345090356,96,t2,0,0,0
M08_69_2022,3.34,4.76,grow,Maguey,8,69,1,1.205970806988609,1.5602476682433286,97,t2,0,0,0
M08_69_2022,6.42,6.8,grow,Maguey,8,69,1,1.8594181177018698,1.916922612182061,98,t2,0,0,0
M08_69_2022,15.14,22.15,grow,Maguey,8,69,1,2.717340248009303,3.0978374964911444,99,t2,0,0,0
M08_69_2022,15.65,16.59,grow,Maguey,8,69,1,2.750470916986162,2.808800104202353,100,t2,0,0,0
M08_69_2022,9.22,10.52,grow,Maguey,8,69,1,2.2213750375685026,2.3532782073095637,101,t2,0,0,0
M08_69_2022,3.65,12.87,grow,Maguey,8,69,1,1.2947271675944,2.554899021608035,102,t2,0,0,0
M08_69_2022,23.77,36.39,grow,Maguey,8,69,1,3.1684242813721024,3.5942940116240685,103,t2,0,0,0
M08_69_2022,24.83,26.09,grow,Maguey,8,69,1,3.2120525995200753,3.261552099148637,104,t2,0,0,0
M08_69_2022,13.72,34.69,grow,Maguey,8,69,1,2.6188546222977394,3.5464514609816584,105,t2,0,0,0
M08_69_2022,4.11,5.23,grow,Maguey,8,69,1,1.4134230285081433,1.6544112780768316,106,t2,0,0,0
M08_69_2022,18.72,22.1,grow,Maguey,8,69,1,2.929592471049446,3.095577608523707,107,t2,0,0,0
M08_69_2022,1.44,2.07,grow,Maguey,8,69,1,0.36464311358790924,0.7275486072772777,108,t2,0,0,0
M08_69_2022,4.16,5.38,grow,Maguey,8,69,1,1.425515074273172,1.682688374173693,109,t2,0,0,0
M08_69_2022,7.79,11.79,grow,Maguey,8,69,1,2.052840859882657,2.4672517145492794,110,t2,0,0,0
M08_69_2022,3.14,7.26,grow,Maguey,8,69,1,1.144222799920162,1.9823798288367047,111,t2,0,0,0
M08_69_2022,4.59,10.41,grow,Maguey,8,69,1,1.5238800240724537,2.3427668826268775,112,t2,0,0,0
M08_69_2022,2.13,3.06,grow,Maguey,8,69,1,0.7561219797213337,1.1184149159642893,113,t2,0,0,0
M08_69_2022,3.29,6.78,grow,Maguey,8,69,1,1.1908875647772805,1.9139771019523042,114,t2,0,0,0
M08_69_2022,8.64,18.96,grow,Maguey,8,69,1,2.1564025828159643,2.942331496826876,115,t2,0,0,0
M08_69_2022,4.65,8.04,grow,Maguey,8,69,1,1.536867219599265,2.0844290831908747,116,t2,0,0,0
M08_69_2022,1.94,2.35,grow,Maguey,8,69,1,0.6626879730752367,0.8544153281560676,117,t2,0,0,0
M08_69_2022,1.54,4.95,grow,Maguey,8,69,1,0.43178241642553783,1.599387576580599,118,t2,0,0,0
M08_69_2022,0.43,2.02,grow,Maguey,8,69,1,-0.843970070294529,0.7030975114131134,119,t2,0,0,0
M08_69_2022,1.62,3.24,grow,Maguey,8,69,1,0.4824261492442928,1.1755733298042381,120,t2,0,0,0
