source_id,site,plot,area1,action,location,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int,cytes_per_polyp,polyps_per_cm2,seeds_exp,seeds_pois,totaloocytes
T37_20_2021,37,20,158.96,shrink,Tampico,47.150000000000006,t1,1,5.0686525982435615,3.8533340090794668,130,0,0,0,0.2641059797611456,18.642950445361716,0,0,0
T39_37_2021,39,37,18.42,n/s,Tampico,15.695352112676057,t1,1,2.913437030827161,2.7533646247460575,131,0,0,0,0.7668105757027497,19,0,0,0
T39_37_2021,39,37,57.18,n/s,Tampico,63.246197183098595,t1,1,4.046204186894165,4.1470350022127604,132,0,0,0,1.136314717512247,18.992450854274004,0,0,0
T39_38_2021,39,38,24.31,shrink,Tampico,13.137230046948357,t1,1,3.1908877883280318,2.575450187710189,133,0,0,0,0.30494473026617674,19,0,0,0
T39_38_2021,39,38,25.88,n/s,Tampico,25.50300469483568,t1,1,3.2534704696327,3.23879627639286,134,0,0,0,1.633025465284133,18.77182197691879,0,0,0
T39_38_2021,39,38,82.45,shrink,Tampico,57.43978873239436,t1,1,4.412192049005608,4.050737246676004,135,0,0,0,0.7864459573094663,19,0,0,0
T39_38_2021,39,38,133.51,n/s,Tampico,137.6312441314554,t1,1,4.894176381402003,4.924577964632741,136,1,1.567198450757928,2,1.2622579267217433,19,2.0045979442536304,1,2
T43_21_2021,43,21,3.7,n/s,Tampico,7.846701030927836,t1,1,1.308332819650179,2.0600931926269674,137,0,0,0,0.706119488662353,17.524997689492846,0,0,0
T43_22_2021,43,22,26.41,n/s,Tampico,13.849484536082475,t1,1,3.273742726309041,2.6282480143293814,138,0,0,0,0.6777271191980299,17,0,0,0
T43_22_2021,43,22,71.24,shrink,Tampico,67.92865979381443,t1,1,4.266054458421461,4.218458033784598,139,1,1.3660631364846396,1,0.7313377385818043,18.8311729325847,0.6142300280272693,0,1
T43_23_2021,43,23,43.17,n/s,Tampico,10.234319248826296,t1,1,3.765145809567386,2.3257467048178158,140,0,0,0,1.2401497384072138,18.246438105558923,0,0,0
T43_24_2021,43,24,36.67,shrink,Tampico,22.995670103092785,t1,1,3.6019589820832345,3.1353059418194213,141,0,0,0,0.9670768735537242,19,0,0,0
T43_24_2021,43,24,58.48,shrink,Tampico,46.37103092783505,t1,1,4.068684815441523,3.836674930803091,142,0,0,0,1.8469464898344703,19,0,0,0
T43_24_2021,43,24,170.37,n/s,Tampico,143.35999999999999,t1,1,5.137972542557451,4.96535894922662,143,1,1.6452661247215083,2,0.2754345059399742,19,0.5581833122577413,0,1
T45_25_2021,45,25,66.46,shrink,Tampico,57.84298969072165,t1,1,4.196600262926448,4.057732265496727,144,0,0,0,0.534679632855974,18.757811218232302,0,0,0
M08_69_2021,8,69,0,born,Maguey,1.5503092783505155,t1,NA,NA,0.43845444544649803,145,NA,NA,NA,0.18493247730911688,18.788016080162283,NA,0,NA
M08_69_2021,8,69,0,born,Maguey,1.8588659793814435,t1,NA,NA,0.6199666132848942,146,NA,NA,NA,0.6914474427992015,17,NA,0,NA
